DataZone,All people,Area (hectares),Density (number of persons per hectare)
S92000003,5295403,7793711,0.68
S01006506,872,439,1.99
S01006507,836,22,37.41
S01006508,643,27,23.8
S01006509,580,10,60.26
S01006510,644,18,35.76
S01006511,751,40,18.75
S01006512,519,1399,0.37
S01006513,648,30,21.54
S01006514,1043,188,5.56
S01006515,762,554,1.37
S01006516,540,159,3.39
S01006517,1014,1044,0.97
S01006518,627,52,12.08
S01006519,865,30,28.45
S01006520,729,20,36.33
S01006521,664,147,4.51
S01006522,574,38,15.16
S01006523,941,29,32.73
S01006524,914,175,5.22
S01006525,798,36,22.2
S01006526,902,11,80.59
S01006527,683,16,43.71
S01006528,1034,46,22.41
S01006529,896,46,19.3
S01006530,755,13,58.06
S01006531,959,17,56.44
S01006532,744,17,43.05
S01006533,712,17,41.3
S01006534,910,19,47.31
S01006535,1038,15,71.07
S01006536,1015,15,65.87
S01006537,754,27,28.45
S01006538,569,16,35.75
S01006539,747,15,51.35
S01006540,960,31,31.34
S01006541,801,23,34.51
S01006542,1001,47,21.36
S01006543,797,20,38.95
S01006544,1071,33,32.87
S01006545,1065,26,41.49
S01006546,630,16,39.25
S01006547,907,724,1.25
S01006548,721,17,42.44
S01006549,811,42,19.11
S01006550,947,33,29.06
S01006551,690,63,10.98
S01006552,870,21,42.33
S01006553,846,28,29.85
S01006554,712,22,31.95
S01006555,814,31,25.91
S01006556,838,23,36.85
S01006557,701,8,83.68
S01006558,622,15,40.68
S01006559,607,11,53.73
S01006560,1033,18,57.65
S01006561,766,13,57.66
S01006562,718,32,22.59
S01006563,826,65,12.73
S01006564,983,11,93.53
S01006565,988,5,185.99
S01006566,757,9,85.78
S01006567,835,6,146.57
S01006568,923,7,129.13
S01006569,566,6,100.04
S01006570,791,11,68.93
S01006571,888,40,22.07
S01006572,905,37,24.76
S01006573,724,12,59.63
S01006574,1001,31,32.32
S01006575,951,14,70.38
S01006576,716,11,63.24
S01006577,769,11,67.68
S01006578,1096,7,150.08
S01006579,964,7,142.19
S01006580,717,8,89.08
S01006581,889,33,26.71
S01006582,871,15,58.89
S01006583,712,6,113.51
S01006584,628,10,61.53
S01006585,795,9,84.93
S01006586,1019,29,34.96
S01006587,539,66,8.23
S01006588,587,7,86.17
S01006589,682,7,98.69
S01006590,701,7,96.8
S01006591,735,6,127.75
S01006592,680,9,75.62
S01006593,768,7,106.58
S01006594,539,7,71.9
S01006595,934,7,124.88
S01006596,725,13,56.79
S01006597,520,5,104.8
S01006598,957,36,26.82
S01006599,807,13,59.83
S01006600,1100,34,32.76
S01006601,1002,12,81.47
S01006602,879,15,59.64
S01006603,849,16,52.75
S01006604,678,14,46.9
S01006605,802,21,38.88
S01006606,831,43,19.35
S01006607,934,20,47.36
S01006608,732,551,1.33
S01006609,1063,19,57.06
S01006610,449,7,62.51
S01006611,919,13,71.7
S01006612,861,15,55.87
S01006613,612,20,30.48
S01006614,678,31,22.03
S01006615,796,16,50.17
S01006616,788,13,58.98
S01006617,681,18,37.67
S01006618,514,14,36.19
S01006619,881,86,10.22
S01006620,848,21,40.69
S01006621,520,8,61.81
S01006622,669,9,77.86
S01006623,765,581,1.32
S01006624,959,14,67.13
S01006625,623,12,52.34
S01006626,718,12,60.11
S01006627,859,22,39.91
S01006628,1097,10,110.41
S01006629,803,12,68.59
S01006630,627,19,33.59
S01006631,933,100,9.29
S01006632,812,8,101.18
S01006633,699,8,90.93
S01006634,634,22,28.23
S01006635,658,8,78.99
S01006636,870,6,153.69
S01006637,753,58,12.96
S01006638,834,7,114.67
S01006639,945,10,91.28
S01006640,723,28,25.41
S01006641,1042,29,36.17
S01006642,1373,19,70.86
S01006643,730,5,147.98
S01006644,963,16,60.83
S01006645,687,3,221.56
S01006646,1005,17,59.38
S01006647,648,5,125.85
S01006648,1804,18,100.22
S01006649,961,5,209.59
S01006650,859,8,104.08
S01006651,635,11,58.41
S01006652,545,9,57.41
S01006653,564,11,52.19
S01006654,914,14,64.11
S01006655,724,39,18.74
S01006656,967,14,66.86
S01006657,536,12,46.32
S01006658,1031,10,106.3
S01006659,632,7,96.25
S01006660,527,11,46.36
S01006661,622,9,68.42
S01006662,835,22,38.4
S01006663,562,7,82.17
S01006664,511,9,54.14
S01006665,712,13,56.49
S01006666,877,56,15.67
S01006667,741,9,84.7
S01006668,908,14,66.91
S01006669,1219,26,46.88
S01006670,929,18,52.7
S01006671,2421,64,37.74
S01006672,810,15,54.77
S01006673,862,10,86.06
S01006674,928,76,12.17
S01006675,712,9,77.68
S01006676,747,14,54.52
S01006677,723,18,40.12
S01006678,1148,35,32.52
S01006679,654,16,42.12
S01006680,851,4,192.6
S01006681,840,58,14.5
S01006682,853,9,94.25
S01006683,872,9,93.64
S01006684,684,11,63.36
S01006685,740,14,52.05
S01006686,622,11,57.27
S01006687,833,20,42.48
S01006688,950,22,43.41
S01006689,629,17,37.36
S01006690,594,9,69.69
S01006691,559,9,61.26
S01006692,742,13,56.74
S01006693,1015,16,64.28
S01006694,865,20,44.09
S01006695,712,16,44.59
S01006696,849,12,71.39
S01006697,926,11,81.68
S01006698,691,8,83.75
S01006699,471,7,65.93
S01006700,830,16,51.56
S01006701,728,11,66.07
S01006702,761,11,71.18
S01006703,675,29,23.01
S01006704,605,8,71.53
S01006705,739,13,57.81
S01006706,619,9,71.19
S01006707,685,11,61.99
S01006708,790,14,56.15
S01006709,878,12,75.4
S01006710,853,16,53.48
S01006711,927,18,52.19
S01006712,524,10,51.61
S01006713,945,14,66.35
S01006714,701,12,56.91
S01006715,623,23,27.11
S01006716,606,18,33.18
S01006717,975,18,55.41
S01006718,627,13,46.9
S01006719,916,12,74.04
S01006720,587,12,47.64
S01006721,888,17,53.17
S01006722,774,11,69.19
S01006723,663,11,62.39
S01006724,1005,21,47.53
S01006725,674,9,71.23
S01006726,1391,18,75.47
S01006727,1015,23,43.85
S01006728,754,11,71.66
S01006729,831,18,45.99
S01006730,704,10,73.89
S01006731,577,7,82.33
S01006732,1058,2346,0.45
S01006733,900,26,34.83
S01006734,976,29,33.36
S01006735,618,25,25.1
S01006736,1079,27,39.72
S01006737,673,269,2.5
S01006738,829,56,14.68
S01006739,607,51,11.94
S01006740,737,15,48.75
S01006741,666,12,55.57
S01006742,460,7,68.21
S01006743,531,59,8.94
S01006744,608,20,31.05
S01006745,822,45,18.38
S01006746,846,16,53.68
S01006747,816,80,10.22
S01006748,917,443,2.07
S01006749,909,13,71.39
S01006750,720,38,19.16
S01006751,509,10,50.49
S01006752,712,11,64.83
S01006753,913,27,33.81
S01006754,900,36,24.67
S01006755,739,1967,0.38
S01006756,739,32,23.44
S01006757,837,19,44.06
S01006758,694,15,47.48
S01006759,595,26,23.23
S01006760,493,9,56.26
S01006761,697,33,21.02
S01006762,805,942,0.85
S01006763,865,12,71.02
S01006764,790,11,70.33
S01006765,586,10,58.2
S01006766,608,14,43.36
S01006767,689,15,44.53
S01006768,599,14,43.97
S01006769,959,19,49.62
S01006770,655,12,55.72
S01006771,465,8,61.03
S01006772,839,22,38.65
S01006773,734,33,22
S01006774,651,10,65.74
S01006775,618,75,8.2
S01006776,496,8,62.73
S01006777,649,13,50.65
S01006778,634,16,39.51
S01006779,615,17,35.3
S01006780,576,39,14.67
S01006781,691,32,21.82
S01006782,744,120,6.21
S01006783,672,14,47.39
S01006784,608,16,39.17
S01006785,611,10,58.72
S01006786,832,27,30.93
S01006787,650,18,35.7
S01006788,820,1237,0.66
S01006789,632,53,12.02
S01006790,901,41,21.85
S01006791,536,37111,0.01
S01006792,491,29319,0.02
S01006793,554,59459,0.01
S01006794,560,32,17.39
S01006795,745,69,10.75
S01006796,575,3022,0.19
S01006797,628,14081,0.04
S01006798,630,12596,0.05
S01006799,903,55,16.52
S01006800,853,16435,0.05
S01006801,956,2760,0.35
S01006802,675,6395,0.11
S01006803,687,20,33.83
S01006804,748,21,36.03
S01006805,1122,3311,0.34
S01006806,1031,3047,0.34
S01006807,620,2893,0.21
S01006808,628,1908,0.33
S01006809,816,453,1.8
S01006810,877,1826,0.48
S01006811,1090,8122,0.13
S01006812,750,3974,0.19
S01006813,789,27,28.95
S01006814,786,26,30.37
S01006815,577,16,34.98
S01006816,723,30,24.48
S01006817,650,3100,0.21
S01006818,719,5656,0.13
S01006819,838,4366,0.19
S01006820,444,385,1.15
S01006821,583,3057,0.19
S01006822,759,8562,0.09
S01006823,732,22,33.75
S01006824,822,11,71.74
S01006825,807,20,39.92
S01006826,951,44,21.86
S01006827,888,17,52.27
S01006828,916,21,43.22
S01006829,428,30,14.13
S01006830,729,20,36.24
S01006831,538,11,49.17
S01006832,1029,28,37.4
S01006833,455,20,22.68
S01006834,532,11,49.76
S01006835,843,24,35.05
S01006836,514,12,41.25
S01006837,599,21,28.25
S01006838,648,11,59.27
S01006839,1040,25,41.01
S01006840,1020,29,35.55
S01006841,922,30,31.03
S01006842,811,27,30.51
S01006843,835,19,44.1
S01006844,671,13,53.59
S01006845,946,20,47.01
S01006846,551,9,59.89
S01006847,712,29,24.25
S01006848,976,2184,0.45
S01006849,971,56,17.34
S01006850,959,15,62.74
S01006851,805,37,21.66
S01006852,595,433,1.37
S01006853,852,2878,0.3
S01006854,853,30,28.15
S01006855,790,7277,0.11
S01006856,678,2821,0.24
S01006857,997,6398,0.16
S01006858,642,4845,0.13
S01006859,1088,33,33.4
S01006860,542,11,48.2
S01006861,604,38,15.78
S01006862,681,35,19.69
S01006863,687,30,22.66
S01006864,447,21,21.08
S01006865,938,63,14.97
S01006866,549,18,31.03
S01006867,731,47,15.48
S01006868,879,21,41.95
S01006869,495,1217,0.41
S01006870,486,34,14.5
S01006871,750,26,28.5
S01006872,719,2912,0.25
S01006873,1007,6085,0.17
S01006874,584,4062,0.14
S01006875,698,36,19.47
S01006876,992,3804,0.26
S01006877,955,10147,0.09
S01006878,706,15220,0.05
S01006879,789,13813,0.06
S01006880,600,1479,0.41
S01006881,578,3677,0.16
S01006882,398,11,37.22
S01006883,458,20,23.29
S01006884,888,39,22.87
S01006885,529,1384,0.38
S01006886,733,5963,0.12
S01006887,587,2283,0.26
S01006888,800,4991,0.16
S01006889,826,29,28.16
S01006890,667,19,35.7
S01006891,951,33,28.66
S01006892,612,14,42.92
S01006893,543,19,28.58
S01006894,938,28,33.92
S01006895,534,24,22.22
S01006896,787,34,22.96
S01006897,708,14,49.56
S01006898,751,33,22.72
S01006899,609,14,44.36
S01006900,579,14,42.81
S01006901,595,18,32.53
S01006902,693,16,44
S01006903,822,26,31.06
S01006904,726,36,20.16
S01006905,891,36,24.94
S01006906,843,23,36.89
S01006907,598,62,9.59
S01006908,803,15,54.38
S01006909,768,767,1
S01006910,852,2380,0.36
S01006911,671,80,8.43
S01006912,432,2924,0.15
S01006913,546,980,0.56
S01006914,748,2969,0.25
S01006915,826,2911,0.28
S01006916,564,49,11.52
S01006917,996,27,36.83
S01006918,493,14,35.46
S01006919,485,14,35
S01006920,502,21,24.31
S01006921,829,17,48.12
S01006922,506,1791,0.28
S01006923,792,781,1.01
S01006924,556,3079,0.18
S01006925,499,11,44.13
S01006926,737,21,34.92
S01006927,1002,20,50.74
S01006928,1033,1563,0.66
S01006929,836,40,20.71
S01006930,889,31,28.83
S01006931,392,1750,0.22
S01006932,614,76,8.11
S01006933,580,13,45.65
S01006934,620,1216,0.51
S01006935,699,16,43.77
S01006936,643,17,36.92
S01006937,730,20,36.66
S01006938,537,14,39.22
S01006939,615,18,34.61
S01006940,939,35,26.61
S01006941,626,99,6.34
S01006942,1082,37,29.54
S01006943,682,12,54.64
S01006944,874,24,36.88
S01006945,508,13,39.66
S01006946,800,729,1.1
S01006947,861,19,46.42
S01006948,871,1442,0.6
S01006949,655,1501,0.44
S01006950,548,22,24.39
S01006951,470,12,38.22
S01006952,827,2076,0.4
S01006953,793,347,2.29
S01006954,829,642,1.29
S01006955,622,14,44.18
S01006956,1105,24,46.31
S01006957,1083,2504,0.43
S01006958,881,93,9.44
S01006959,722,34,21.41
S01006960,982,21,47.22
S01006961,984,19,51.65
S01006962,871,25,34.86
S01006963,666,19,34.23
S01006964,743,15,48.74
S01006965,501,35,14.37
S01006966,602,13,46.1
S01006967,629,11,59.16
S01006968,514,14,35.55
S01006969,947,21,45.48
S01006970,716,38,18.85
S01006971,510,28,18.12
S01006972,522,2718,0.19
S01006973,525,768,0.68
S01006974,1040,35,30.05
S01006975,951,7541,0.13
S01006976,446,2845,0.16
S01006977,823,6070,0.14
S01006978,855,3474,0.25
S01006979,842,1149,0.73
S01006980,843,2495,0.34
S01006981,798,3066,0.26
S01006982,910,344,2.65
S01006983,743,893,0.83
S01006984,702,2774,0.25
S01006985,1008,78,12.86
S01006986,674,20,33.75
S01006987,665,28,23.81
S01006988,615,2266,0.27
S01006989,1026,2581,0.4
S01006990,908,2034,0.45
S01006991,443,85,5.19
S01006992,608,4216,0.14
S01006993,535,3796,0.14
S01006994,573,2271,0.25
S01006995,859,4874,0.18
S01006996,782,29,26.94
S01006997,786,2430,0.32
S01006998,1091,4765,0.23
S01006999,872,8411,0.1
S01007000,927,846,1.1
S01007001,947,51,18.63
S01007002,608,3010,0.2
S01007003,524,6771,0.08
S01007004,718,6035,0.12
S01007005,904,5971,0.15
S01007006,900,11152,0.08
S01007007,848,12819,0.07
S01007008,1034,45,23.2
S01007009,1013,46,22.05
S01007010,819,35,23.24
S01007011,865,17,50.12
S01007012,707,35,20.05
S01007013,565,3462,0.16
S01007014,1024,4634,0.22
S01007015,625,6167,0.1
S01007016,592,4027,0.15
S01007017,995,22,46.15
S01007018,990,32,31.2
S01007019,665,32,20.68
S01007020,770,41,19.01
S01007021,923,22,41.11
S01007022,498,17,29.06
S01007023,494,3999,0.12
S01007024,1047,7416,0.14
S01007025,860,25,35
S01007026,892,49,18.29
S01007027,1085,31,34.76
S01007028,734,5068,0.14
S01007029,560,4914,0.11
S01007030,820,29,28.5
S01007031,630,2422,0.26
S01007032,990,45,22.11
S01007033,740,19,39.32
S01007034,592,15,39.65
S01007035,786,17,47.51
S01007036,974,51,19.26
S01007037,1020,23,43.68
S01007038,755,21,36.38
S01007039,860,27,32.32
S01007040,647,36,17.97
S01007041,727,24,30.26
S01007042,737,1622,0.45
S01007043,1000,7618,0.13
S01007044,667,35,19.31
S01007045,805,6559,0.12
S01007046,574,3763,0.15
S01007047,665,6798,0.1
S01007048,889,6551,0.14
S01007049,945,32,29.77
S01007050,641,27,23.7
S01007051,768,41,18.65
S01007052,573,1843,0.31
S01007053,494,3504,0.14
S01007054,963,34,27.99
S01007055,515,5575,0.09
S01007056,638,4040,0.16
S01007057,520,24,21.56
S01007058,577,24,24.41
S01007059,1020,84,12.21
S01007060,604,13,46.23
S01007061,930,5697,0.16
S01007062,665,4596,0.14
S01007063,670,24,27.38
S01007064,627,3291,0.19
S01007065,578,1968,0.29
S01007066,648,4254,0.15
S01007067,553,15,35.91
S01007068,740,25,29.83
S01007069,847,248,3.42
S01007070,500,20,24.92
S01007071,821,24,33.56
S01007072,641,136,4.72
S01007073,1064,88,12.02
S01007074,661,14,48.59
S01007075,727,12,61.38
S01007076,759,12,65.79
S01007077,674,18,38.01
S01007078,847,19,45.16
S01007079,983,25,38.89
S01007080,790,32,24.42
S01007081,951,16,58.15
S01007082,551,9,62.7
S01007083,937,27,34.58
S01007084,621,18,34.78
S01007085,805,21,37.52
S01007086,1132,34,33.14
S01007087,896,41,21.84
S01007088,539,15,36.2
S01007089,529,23,23.46
S01007090,540,43,12.66
S01007091,829,26,32.49
S01007092,624,14,43.22
S01007093,987,24,41.31
S01007094,903,28,32.42
S01007095,551,2459,0.22
S01007096,837,2694,0.31
S01007097,488,1769,0.28
S01007098,821,2043,0.4
S01007099,883,1135,0.78
S01007100,727,2342,0.31
S01007101,851,42,20.09
S01007102,706,5837,0.12
S01007103,832,24,34.29
S01007104,486,3430,0.14
S01007105,543,14,39.52
S01007106,715,87,8.24
S01007107,685,2559,0.27
S01007108,577,4402,0.13
S01007109,824,22,38.05
S01007110,796,32,24.68
S01007111,526,16,31.99
S01007112,540,59,9.2
S01007113,547,22,24.49
S01007114,888,19,46.87
S01007115,692,21,32.62
S01007116,1006,29,34.16
S01007117,471,16,29.96
S01007118,679,9,75.99
S01007119,812,23,34.84
S01007120,1086,30,36.41
S01007121,533,8,67.87
S01007122,594,15,39.34
S01007123,668,22,30.98
S01007124,913,15,60.6
S01007125,867,37,23.54
S01007126,927,17,56.05
S01007127,1030,60,17.02
S01007128,847,15,56.46
S01007129,956,1166,0.82
S01007130,612,38,16.23
S01007131,775,67,11.54
S01007132,700,26,26.54
S01007133,674,2071,0.33
S01007134,743,2004,0.37
S01007135,558,1415,0.39
S01007136,533,2703,0.2
S01007137,751,50,14.9
S01007138,597,1281,0.47
S01007139,776,693,1.12
S01007140,1022,3027,0.34
S01007141,684,1599,0.43
S01007142,647,34,19.27
S01007143,671,12,56.77
S01007144,716,3538,0.2
S01007145,892,48,18.54
S01007146,759,21,36.65
S01007147,711,15,47.65
S01007148,538,13,40.12
S01007149,542,13,43.11
S01007150,750,32,23.22
S01007151,884,32,27.61
S01007152,567,16,35.27
S01007153,633,13,47.95
S01007154,803,28,28.57
S01007155,640,11,58.72
S01007156,722,30,23.96
S01007157,648,11,60.49
S01007158,939,20,46.18
S01007159,840,23,36.16
S01007160,826,24,33.72
S01007161,701,16,44.74
S01007162,523,27,19.12
S01007163,875,40,21.79
S01007164,576,12,47.75
S01007165,846,27,31.9
S01007166,709,20,35
S01007167,795,36,22.17
S01007168,965,27,36.23
S01007169,758,18,41.7
S01007170,648,4295,0.15
S01007171,852,3085,0.28
S01007172,821,2237,0.37
S01007173,881,18,49.49
S01007174,911,95,9.59
S01007175,665,16,40.38
S01007176,708,16,43.71
S01007177,631,11,56.56
S01007178,1051,17,63.28
S01007179,976,80,12.19
S01007180,752,25,30.24
S01007181,813,88,9.19
S01007182,1047,41,25.38
S01007183,1082,28,38.99
S01007184,1039,28,37.42
S01007185,860,19,46.04
S01007186,593,10,58.2
S01007187,804,29,28.14
S01007188,602,7,85.58
S01007189,809,28,29.32
S01007190,815,24,33.87
S01007191,616,10,62.5
S01007192,612,29,21.11
S01007193,769,13,57.7
S01007194,641,10,63.44
S01007195,580,12,49.33
S01007196,768,14,55.96
S01007197,637,10,61.63
S01007198,532,14,37.3
S01007199,804,20,39.81
S01007200,849,25,34.32
S01007201,738,24,30.69
S01007202,735,32,22.86
S01007203,643,13,50.86
S01007204,980,4151,0.24
S01007205,688,2655,0.26
S01007206,392,8,47.09
S01007207,901,46,19.59
S01007208,990,19,51.96
S01007209,768,19,40.64
S01007210,779,20,38.74
S01007211,967,59,16.28
S01007212,546,47,11.58
S01007213,912,28,32.82
S01007214,740,9,82.19
S01007215,770,25,30.81
S01007216,722,26,28.12
S01007217,943,27,34.9
S01007218,876,25,35.25
S01007219,808,40,20.26
S01007220,701,17,41.35
S01007221,703,227,3.1
S01007222,806,605,1.33
S01007223,531,93,5.68
S01007224,615,40,15.39
S01007225,880,4921,0.18
S01007226,797,6245,0.13
S01007227,962,38,25.3
S01007228,648,4873,0.13
S01007229,1102,9190,0.12
S01007230,750,34,21.94
S01007231,701,14,51.24
S01007232,726,18,39.92
S01007233,788,31,25.12
S01007234,630,42,14.93
S01007235,774,18,43.66
S01007236,620,18,34.7
S01007237,719,21,34.15
S01007238,915,18,49.48
S01007239,858,86,9.97
S01007240,539,6146,0.09
S01007241,614,3651,0.17
S01007242,999,64,15.56
S01007243,587,38,15.3
S01007244,721,3362,0.21
S01007245,669,2487,0.27
S01007246,564,2381,0.24
S01007247,641,3308,0.19
S01007248,763,28,26.97
S01007249,433,26,16.46
S01007250,822,39,21.05
S01007251,523,10,52.47
S01007252,811,27,30.25
S01007253,798,63,12.6
S01007254,816,20,41.31
S01007255,792,8,95.26
S01007256,799,19,42.41
S01007257,606,12,49.81
S01007258,886,40,22.11
S01007259,856,23,38.01
S01007260,896,12,76.55
S01007261,782,24,32.23
S01007262,712,14,51.72
S01007263,777,17,44.66
S01007264,774,71,10.95
S01007265,1109,33,33.46
S01007266,678,33,20.35
S01007267,521,6165,0.08
S01007268,596,5416,0.11
S01007269,528,645,0.82
S01007270,457,4523,0.1
S01007271,987,26,37.83
S01007272,864,23,37.4
S01007273,669,25,26.67
S01007274,827,23,35.48
S01007275,590,29,20.63
S01007276,850,29,29.79
S01007277,756,28,26.84
S01007278,542,33,16.57
S01007279,565,27104,0.02
S01007280,570,30325,0.02
S01007281,979,8470,0.12
S01007282,538,46874,0.01
S01007283,1023,2008,0.51
S01007284,848,15518,0.05
S01007285,872,30218,0.03
S01007286,954,148,6.45
S01007287,616,8753,0.07
S01007288,554,52598,0.01
S01007289,798,1709,0.47
S01007290,786,45,17.37
S01007291,690,60,11.41
S01007292,771,34,22.83
S01007293,786,7,109.12
S01007294,916,56,16.36
S01007295,520,15,35.59
S01007296,563,31,18.39
S01007297,911,33,27.43
S01007298,532,22,24.67
S01007299,854,35,24.21
S01007300,502,21,24.19
S01007301,739,4154,0.18
S01007302,625,22,27.88
S01007303,925,5789,0.16
S01007304,693,15397,0.05
S01007305,736,9043,0.08
S01007306,756,1508,0.5
S01007307,786,31655,0.02
S01007308,806,59332,0.01
S01007309,645,26117,0.02
S01007310,808,3494,0.23
S01007311,769,19200,0.04
S01007312,770,9820,0.08
S01007313,972,19996,0.05
S01007314,635,5773,0.11
S01007315,940,46,20.44
S01007316,861,36,24.09
S01007317,675,1120,0.6
S01007318,607,25,24.74
S01007319,742,67,11.01
S01007320,747,23755,0.03
S01007321,595,33657,0.02
S01007322,730,65,11.17
S01007323,449,37,11.98
S01007324,328,43206,0.01
S01007325,833,26362,0.03
S01007326,765,35357,0.02
S01007327,784,40,19.62
S01007328,846,51,16.71
S01007329,702,20361,0.03
S01007330,778,18040,0.04
S01007331,986,5428,0.18
S01007332,505,18141,0.03
S01007333,806,92,8.73
S01007334,750,14,53.37
S01007335,810,15,53.26
S01007336,535,27,19.84
S01007337,658,26,25.1
S01007338,752,22,34.09
S01007339,621,61,10.11
S01007340,470,24,19.9
S01007341,740,35,21.19
S01007342,826,72,11.45
S01007343,651,12090,0.05
S01007344,443,17,26.85
S01007345,595,11,55.42
S01007346,543,13,42.36
S01007347,601,33,18.47
S01007348,610,44,13.85
S01007349,457,26,17.69
S01007350,562,21,27.18
S01007351,658,5396,0.12
S01007352,498,26924,0.02
S01007353,642,8661,0.07
S01007354,786,73,10.76
S01007355,947,27180,0.03
S01007356,714,1395,0.51
S01007357,803,20383,0.04
S01007358,912,17660,0.05
S01007359,823,47,17.69
