,InterZone,All people,Area (hectares),Density
0,S02001236,4845,1955,2.47826087
1,S02001237,4007,1975,2.028860759
2,S02001238,6112,527,11.59772296
3,S02001239,5229,149,35.09395973
4,S02001240,4419,83,53.24096386
5,S02001241,3831,112,34.20535714
6,S02001242,4564,142,32.14084507
7,S02001243,4946,900,5.495555556
8,S02001244,3911,112,34.91964286
9,S02001245,4572,154,29.68831169
10,S02001246,5843,55,106.2363636
11,S02001247,3518,120,29.31666667
12,S02001248,6102,91,67.05494505
13,S02001249,4025,69,58.33333333
14,S02001250,2509,87,28.83908046
15,S02001251,4901,54,90.75925926
16,S02001252,4745,110,43.13636364
17,S02001253,4094,114,35.9122807
18,S02001254,4024,605,6.651239669
19,S02001255,4069,112,36.33035714
20,S02001256,3683,705,5.224113475
21,S02001257,5686,101,56.2970297
22,S02001258,4606,152,30.30263158
23,S02001259,3255,103,31.60194175
24,S02001260,4108,69,59.53623188
25,S02001261,7144,76,94
26,S02001262,3705,90,41.16666667
27,S02001263,5432,88,61.72727273
28,S02001264,4674,123,38
29,S02001265,5021,165,30.43030303
30,S02001266,4835,96,50.36458333
31,S02001267,3989,101,39.4950495
32,S02001268,5944,117,50.8034188
33,S02001269,5344,90,59.37777778
34,S02001270,4812,92,52.30434783
35,S02001271,4917,84,58.53571429
36,S02001272,3532,84,42.04761905
37,S02001273,5507,93,59.21505376
38,S02001274,5272,87,60.59770115
39,S02001275,5304,2722,1.94856723
40,S02001276,3299,141,23.39716312
41,S02001277,4540,663,6.847662142
42,S02001278,5402,2102,2.569933397
43,S02001279,4055,134,30.26119403
44,S02001280,4343,1004,4.325697211
45,S02001281,4902,118,41.54237288
46,S02001282,3588,168,21.35714286
47,S02001283,2715,182,14.91758242
48,S02001284,2913,1292,2.254643963
49,S02001285,3114,125983,0.024717621
50,S02001286,4894,46290,0.105724779
51,S02001287,4188,12507,0.334852483
52,S02001288,3972,10127,0.392218821
53,S02001289,5365,15295,0.350768225
54,S02001290,3343,22026,0.151775175
55,S02001291,5544,165,33.6
56,S02001292,5887,158,37.25949367
57,S02001293,2982,84,35.5
58,S02001294,4526,117,38.68376068
59,S02001295,4306,2725,1.580183486
60,S02001296,4812,24249,0.198441173
61,S02001297,4049,168,24.10119048
62,S02001298,3097,149,20.7852349
63,S02001299,4041,14336,0.28187779
64,S02001300,4140,43020,0.09623431
65,S02001301,5571,19847,0.280697335
66,S02001302,3599,114,31.57017544
67,S02001303,5501,179,30.73184358
68,S02001304,5376,214,25.12149533
69,S02001305,4843,13011,0.372223503
70,S02001306,5723,5793,0.987916451
71,S02001307,3271,1615,2.025386997
72,S02001308,3931,3126,1.257517594
73,S02001309,4163,120,34.69166667
74,S02001310,3772,185,20.38918919
75,S02001311,4205,3725,1.12885906
76,S02001312,5259,5607,0.937934724
77,S02001313,5849,226,25.88053097
78,S02001314,4419,160,27.61875
79,S02001315,4307,19977,0.215597938
80,S02001316,5693,14195,0.40105671
81,S02001317,4896,7007,0.698729842
82,S02001318,3800,15271,0.248837666
83,S02001319,4623,16503,0.280130885
84,S02001320,4502,45758,0.098387167
85,S02001321,4438,178,24.93258427
86,S02001322,2806,18290,0.153417168
87,S02001323,4841,166,29.1626506
88,S02001324,3293,11489,0.286621986
89,S02001325,3829,12464,0.30720475
90,S02001326,4082,147,27.76870748
91,S02001327,4009,131,30.60305344
92,S02001328,3209,15834,0.202665151
93,S02001329,3073,17144,0.179246384
94,S02001330,4592,15064,0.304832714
95,S02001331,2721,145,18.76551724
96,S02001332,2892,13608,0.212522046
97,S02001333,4687,6554,0.715135795
98,S02001334,4526,280,16.16428571
99,S02001335,2620,76,34.47368421
100,S02001336,6432,181,35.5359116
101,S02001337,4412,158,27.92405063
102,S02001338,5864,18321,0.320069865
103,S02001339,5984,10586,0.565274891
104,S02001340,4144,166,24.96385542
105,S02001341,2577,62,41.56451613
106,S02001342,2708,60,45.13333333
107,S02001343,3671,129,28.45736434
108,S02001344,5551,9490,0.584931507
109,S02001345,5864,10234,0.572991987
110,S02001346,2900,97,29.89690722
111,S02001347,4819,145,33.23448276
112,S02001348,5199,151,34.43046358
113,S02001349,5524,180,30.68888889
114,S02001350,2321,9617,0.241343454
115,S02001351,5823,253,23.01581028
116,S02001352,3694,182,20.2967033
117,S02001353,4707,121,38.90082645
118,S02001354,4801,112,42.86607143
119,S02001355,4938,138,35.7826087
120,S02001356,2961,6860,0.431632653
121,S02001357,5702,201,28.3681592
122,S02001358,4820,160,30.125
123,S02001359,3535,5886,0.600577642
124,S02001360,3509,20346,0.172466332
125,S02001361,3595,139,25.86330935
126,S02001362,3886,161,24.13664596
127,S02001363,5334,21437,0.24882213
128,S02001364,4150,193,21.50259067
129,S02001365,4755,122,38.97540984
130,S02001366,5050,171,29.53216374
131,S02001367,2780,16782,0.165653677
132,S02001368,6085,216,28.1712963
133,S02001369,3675,114781,0.032017494
134,S02001370,3844,107235,0.035846505
135,S02001371,5830,1957,2.979049566
136,S02001372,2799,111,25.21621622
137,S02001373,5260,67568,0.077847502
138,S02001374,2259,88943,0.025398289
139,S02001375,3146,54789,0.057420285
140,S02001376,3825,1294,2.955950541
141,S02001377,2521,57514,0.043832806
142,S02001378,3556,105016,0.033861507
143,S02001379,2971,61970,0.047942553
144,S02001380,4932,257,19.19066148
145,S02001381,2687,12221,0.219867441
146,S02001382,3811,165,23.0969697
147,S02001383,2584,41054,0.062941492
148,S02001384,3376,66618,0.050676994
149,S02001385,5249,288,18.22569444
150,S02001386,4711,196,24.03571429
151,S02001387,5636,7291,0.773007818
152,S02001388,4342,311,13.96141479
153,S02001389,4487,233,19.25751073
154,S02001390,3153,105,30.02857143
155,S02001391,4155,114,36.44736842
156,S02001392,3032,15699,0.193133321
157,S02001393,4396,322,13.65217391
158,S02001394,5410,3307,1.635923798
159,S02001395,2804,85,32.98823529
160,S02001396,4773,163,29.28220859
161,S02001397,2112,4156,0.508180943
162,S02001398,4835,188,25.71808511
163,S02001399,3520,3318,1.060880048
164,S02001400,4408,2915,1.512178388
