,InterZone,All people,Area (hectares),simd1_pop,simd2_pop,simd3_pop,simd4_pop,simd5_pop,simdMostPop,simd1_percent,simd2_percent,simd3_percent,simd4_percent,simd5_percent
0,S02001236,4845,1955,0,0,644,2288,1913,4,0.0,0.0,0.1329205366357069,0.47223942208462333,0.39484004127966976
1,S02001237,4007,1975,0,0,0,0,4007,5,0.0,0.0,0.0,0.0,1.0
2,S02001238,6112,527,0,0,914,0,5198,5,0.0,0.0,0.14954188481675393,0.0,0.8504581151832461
3,S02001239,5229,149,0,3299,1930,0,0,2,0.0,0.6309045706636068,0.36909542933639317,0.0,0.0
4,S02001240,4419,83,0,0,0,0,4419,5,0.0,0.0,0.0,0.0,1.0
5,S02001241,3831,112,0,0,0,0,3831,5,0.0,0.0,0.0,0.0,1.0
6,S02001242,4564,142,0,0,0,0,4564,5,0.0,0.0,0.0,0.0,1.0
7,S02001243,4946,900,0,690,907,0,3349,5,0.0,0.13950667205822886,0.18338050950262838,0.0,0.6771128184391427
8,S02001244,3911,112,0,2353,0,1558,0,2,0.0,0.6016364101252877,0.0,0.3983635898747124,0.0
9,S02001245,4572,154,0,0,0,1544,3028,5,0.0,0.0,0.0,0.33770778652668415,0.6622922134733158
10,S02001246,5843,55,0,835,1971,0,3037,5,0.0,0.14290604141708027,0.3373267157282218,0.0,0.5197672428546979
11,S02001247,3518,120,0,0,0,0,3518,5,0.0,0.0,0.0,0.0,1.0
12,S02001248,6102,91,0,0,0,1096,5006,5,0.0,0.0,0.0,0.17961324156014422,0.8203867584398558
13,S02001249,4025,69,0,795,1890,0,1340,3,0.0,0.19751552795031055,0.46956521739130436,0.0,0.33291925465838507
14,S02001250,2509,87,0,539,1383,587,0,3,0.0,0.214826624153049,0.5512156237544839,0.2339577520924671,0.0
15,S02001251,4901,54,0,0,1255,0,3646,5,0.0,0.0,0.2560701897571924,0.0,0.7439298102428076
16,S02001252,4745,110,0,0,0,1809,2936,5,0.0,0.0,0.0,0.38124341412012647,0.6187565858798736
17,S02001253,4094,114,0,1651,1612,831,0,2,0.0,0.4032730825598437,0.3937469467513434,0.2029799706888129,0.0
18,S02001254,4024,605,0,1368,1063,1593,0,4,0.0,0.3399602385685885,0.26416500994035785,0.39587475149105367,0.0
19,S02001255,4069,112,0,0,0,681,3388,5,0.0,0.0,0.0,0.16736298844925043,0.8326370115507495
20,S02001256,3683,705,0,0,765,2249,669,4,0.0,0.0,0.20771110507738258,0.6106434971490633,0.18164539777355418
21,S02001257,5686,101,1662,1345,2679,0,0,3,0.29229686950404504,0.23654590221596905,0.4711572282799859,0.0,0.0
22,S02001258,4606,152,3015,1591,0,0,0,1,0.6545809813287017,0.3454190186712983,0.0,0.0,0.0
23,S02001259,3255,103,0,1779,753,0,723,2,0.0,0.5465437788018433,0.2313364055299539,0.0,0.22211981566820277
24,S02001260,4108,69,0,0,1042,3066,0,4,0.0,0.0,0.25365141187926,0.74634858812074,0.0
25,S02001261,7144,76,687,648,2455,3354,0,4,0.09616461366181411,0.09070548712206047,0.3436450167973124,0.469484882418813,0.0
