_id,IntZone,IntZoneName,CA,CAName,HSCP,HSCPName,HB,HBName,Country
1,S02001236,Culter,S12000033,Aberdeen City,S37000001,Aberdeen City,S08000020,NHS Grampian,S92000003
2,S02001237,"Cults, Bieldside and Milltimber West",S12000033,Aberdeen City,S37000001,Aberdeen City,S08000020,NHS Grampian,S92000003
3,S02001238,"Cults, Bieldside and Milltimber East",S12000033,Aberdeen City,S37000001,Aberdeen City,S08000020,NHS Grampian,S92000003
4,S02001239,Garthdee,S12000033,Aberdeen City,S37000001,Aberdeen City,S08000020,NHS Grampian,S92000003
5,S02001240,"Braeside, Mannofield, Broomhill and Seafield East",S12000033,Aberdeen City,S37000001,Aberdeen City,S08000020,NHS Grampian,S92000003
6,S02001241,"Braeside, Mannofield, Broomhill and Seafield South",S12000033,Aberdeen City,S37000001,Aberdeen City,S08000020,NHS Grampian,S92000003
7,S02001242,"Braeside, Mannofield, Broomhill and Seafield North",S12000033,Aberdeen City,S37000001,Aberdeen City,S08000020,NHS Grampian,S92000003
8,S02001243,Hazlehead,S12000033,Aberdeen City,S37000001,Aberdeen City,S08000020,NHS Grampian,S92000003
9,S02001244,Summerhill,S12000033,Aberdeen City,S37000001,Aberdeen City,S08000020,NHS Grampian,S92000003
10,S02001245,Midstocket,S12000033,Aberdeen City,S37000001,Aberdeen City,S08000020,NHS Grampian,S92000003
11,S02001246,Rosemount,S12000033,Aberdeen City,S37000001,Aberdeen City,S08000020,NHS Grampian,S92000003
12,S02001247,West End North,S12000033,Aberdeen City,S37000001,Aberdeen City,S08000020,NHS Grampian,S92000003
13,S02001248,West End South,S12000033,Aberdeen City,S37000001,Aberdeen City,S08000020,NHS Grampian,S92000003
14,S02001249,City Centre West,S12000033,Aberdeen City,S37000001,Aberdeen City,S08000020,NHS Grampian,S92000003
15,S02001250,City Centre East,S12000033,Aberdeen City,S37000001,Aberdeen City,S08000020,NHS Grampian,S92000003
16,S02001251,Ferryhill North,S12000033,Aberdeen City,S37000001,Aberdeen City,S08000020,NHS Grampian,S92000003
17,S02001252,Ferryhill South,S12000033,Aberdeen City,S37000001,Aberdeen City,S08000020,NHS Grampian,S92000003
18,S02001253,"Kincorth, Leggart and Nigg North",S12000033,Aberdeen City,S37000001,Aberdeen City,S08000020,NHS Grampian,S92000003
19,S02001254,"Kincorth, Leggart and Nigg South",S12000033,Aberdeen City,S37000001,Aberdeen City,S08000020,NHS Grampian,S92000003
20,S02001255,Cove South,S12000033,Aberdeen City,S37000001,Aberdeen City,S08000020,NHS Grampian,S92000003
21,S02001256,Cove North,S12000033,Aberdeen City,S37000001,Aberdeen City,S08000020,NHS Grampian,S92000003
22,S02001257,Torry West,S12000033,Aberdeen City,S37000001,Aberdeen City,S08000020,NHS Grampian,S92000003
23,S02001258,Torry East,S12000033,Aberdeen City,S37000001,Aberdeen City,S08000020,NHS Grampian,S92000003
24,S02001259,Hanover South,S12000033,Aberdeen City,S37000001,Aberdeen City,S08000020,NHS Grampian,S92000003
25,S02001260,Hanover North,S12000033,Aberdeen City,S37000001,Aberdeen City,S08000020,NHS Grampian,S92000003
26,S02001261,George Street,S12000033,Aberdeen City,S37000001,Aberdeen City,S08000020,NHS Grampian,S92000003
27,S02001262,Ashgrove,S12000033,Aberdeen City,S37000001,Aberdeen City,S08000020,NHS Grampian,S92000003
28,S02001263,"Froghall, Powis and Sunnybank",S12000033,Aberdeen City,S37000001,Aberdeen City,S08000020,NHS Grampian,S92000003
29,S02001264,Seaton,S12000033,Aberdeen City,S37000001,Aberdeen City,S08000020,NHS Grampian,S92000003
30,S02001265,Old Aberdeen,S12000033,Aberdeen City,S37000001,Aberdeen City,S08000020,NHS Grampian,S92000003
31,S02001266,Tillydrone,S12000033,Aberdeen City,S37000001,Aberdeen City,S08000020,NHS Grampian,S92000003
32,S02001267,Woodside,S12000033,Aberdeen City,S37000001,Aberdeen City,S08000020,NHS Grampian,S92000003
33,S02001268,Hilton,S12000033,Aberdeen City,S37000001,Aberdeen City,S08000020,NHS Grampian,S92000003
34,S02001269,Stockethill,S12000033,Aberdeen City,S37000001,Aberdeen City,S08000020,NHS Grampian,S92000003
35,S02001270,Mastrick,S12000033,Aberdeen City,S37000001,Aberdeen City,S08000020,NHS Grampian,S92000003
36,S02001271,Sheddocksley,S12000033,Aberdeen City,S37000001,Aberdeen City,S08000020,NHS Grampian,S92000003
37,S02001272,Cummings Park,S12000033,Aberdeen City,S37000001,Aberdeen City,S08000020,NHS Grampian,S92000003
38,S02001273,Northfield,S12000033,Aberdeen City,S37000001,Aberdeen City,S08000020,NHS Grampian,S92000003
