DataZone,All full-time students aged 16 to 74,Economically active: In employment,Economically active: Unemployed,Economically Inactive
S92000003,360109,115970,32590,211549
S01006506,44,21,5,18
S01006507,48,32,2,14
S01006508,28,14,2,12
S01006509,17,5,1,11
S01006510,34,12,4,18
S01006511,51,26,1,24
S01006512,36,11,1,24
S01006513,29,14,1,14
S01006514,86,39,2,45
S01006515,56,19,0,37
S01006516,60,22,1,37
S01006517,70,32,4,34
S01006518,45,18,3,24
S01006519,65,30,0,35
S01006520,60,21,1,38
S01006521,42,13,3,26
S01006522,36,19,3,14
S01006523,55,24,1,30
S01006524,51,21,2,28
S01006525,54,21,1,32
S01006526,131,52,10,69
S01006527,70,27,5,38
S01006528,198,76,20,102
S01006529,133,47,16,70
S01006530,99,44,10,45
S01006531,124,56,10,58
S01006532,57,22,9,26
S01006533,51,24,2,25
S01006534,44,19,1,24
S01006535,99,44,11,44
S01006536,99,58,5,36
S01006537,28,14,2,12
S01006538,25,13,1,11
S01006539,41,22,2,17
S01006540,62,28,6,28
S01006541,22,13,0,9
S01006542,40,19,1,20
S01006543,27,16,1,10
S01006544,55,21,0,34
S01006545,50,17,2,31
S01006546,39,16,1,22
S01006547,41,22,0,19
S01006548,35,16,2,17
S01006549,38,16,3,19
S01006550,59,29,3,27
S01006551,31,13,3,15
S01006552,58,22,5,31
S01006553,26,8,7,11
S01006554,20,15,2,3
S01006555,34,18,1,15
S01006556,37,20,1,16
S01006557,38,23,5,10
S01006558,46,17,1,28
S01006559,82,19,1,62
S01006560,78,26,5,47
S01006561,52,18,5,29
S01006562,49,20,4,25
S01006563,51,13,7,31
S01006564,126,52,8,66
S01006565,288,85,25,178
S01006566,105,37,4,64
S01006567,177,71,11,95
S01006568,156,77,4,75
S01006569,69,27,6,36
S01006570,71,24,5,42
S01006571,73,32,6,35
S01006572,56,18,4,34
S01006573,68,28,2,38
S01006574,68,24,2,42
S01006575,71,20,12,39
S01006576,64,33,7,24
S01006577,73,28,10,35
S01006578,144,62,11,71
S01006579,159,77,6,76
S01006580,60,34,4,22
S01006581,55,25,1,29
S01006582,149,77,10,62
S01006583,193,94,13,86
S01006584,143,71,9,63
S01006585,137,60,15,62
S01006586,232,106,14,112
S01006587,111,46,12,53
S01006588,184,95,19,70
S01006589,188,94,19,75
S01006590,106,46,14,46
S01006591,93,55,6,32
S01006592,72,32,1,39
S01006593,96,45,9,42
S01006594,60,35,2,23
S01006595,89,50,2,37
S01006596,53,23,5,25
S01006597,78,46,6,26
S01006598,55,14,4,37
S01006599,93,45,7,41
S01006600,73,32,5,36
S01006601,91,44,10,37
S01006602,68,24,6,38
S01006603,29,15,6,8
S01006604,47,27,7,13
S01006605,33,10,5,18
S01006606,48,19,6,23
S01006607,43,22,3,18
S01006608,47,18,5,24
S01006609,42,20,6,16
S01006610,19,12,0,7
S01006611,40,16,4,20
S01006612,49,25,6,18
S01006613,21,7,1,13
S01006614,20,6,4,10
S01006615,35,14,0,21
S01006616,45,30,3,12
S01006617,23,11,4,8
S01006618,19,5,2,12
S01006619,55,27,2,26
S01006620,31,20,5,6
S01006621,17,9,2,6
S01006622,29,9,6,14
S01006623,39,13,2,24
S01006624,70,38,3,29
S01006625,36,17,7,12
S01006626,38,24,6,8
S01006627,46,26,6,14
S01006628,112,64,11,37
S01006629,49,20,5,24
S01006630,24,10,0,14
S01006631,27,12,5,10
S01006632,50,24,8,18
S01006633,46,22,4,20
S01006634,22,8,1,13
S01006635,32,14,5,13
S01006636,51,24,15,12
S01006637,102,37,8,57
S01006638,190,78,5,107
S01006639,211,107,15,89
S01006640,230,81,16,133
S01006641,255,110,20,125
S01006642,831,257,110,464
S01006643,296,152,14,130
S01006644,318,126,24,168
S01006645,74,42,5,27
S01006646,625,169,125,331
S01006647,96,47,8,41
S01006648,984,327,130,527
S01006649,207,102,10,95
S01006650,263,101,25,137
S01006651,192,64,17,111
S01006652,162,80,10,72
S01006653,121,39,9,73
S01006654,99,45,6,48
S01006655,99,30,6,63
S01006656,176,78,12,86
S01006657,129,45,8,76
S01006658,287,126,23,138
S01006659,251,86,16,149
S01006660,147,49,12,86
S01006661,219,70,19,130
S01006662,398,104,44,250
S01006663,275,94,22,159
S01006664,216,104,10,102
S01006665,365,134,31,200
S01006666,62,29,6,27
S01006667,90,32,10,48
S01006668,429,151,48,230
S01006669,595,107,78,410
S01006670,460,193,65,202
S01006671,2034,402,372,1260
S01006672,192,70,16,106
S01006673,260,83,36,141
S01006674,58,28,8,22
S01006675,70,31,9,30
S01006676,68,35,5,28
S01006677,110,47,8,55
S01006678,104,41,13,50
S01006679,45,24,5,16
S01006680,44,22,2,20
S01006681,41,22,2,17
S01006682,81,34,8,39
S01006683,139,56,15,68
S01006684,69,26,12,31
S01006685,53,27,4,22
S01006686,35,17,5,13
S01006687,55,20,10,25
S01006688,53,25,3,25
S01006689,98,33,10,55
S01006690,99,35,6,58
S01006691,116,46,5,65
S01006692,100,27,1,72
S01006693,108,42,7,59
S01006694,25,10,4,11
S01006695,31,15,4,12
S01006696,90,41,11,38
S01006697,69,26,2,41
S01006698,60,21,4,35
S01006699,55,22,6,27
S01006700,80,33,8,39
S01006701,20,8,2,10
S01006702,21,16,2,3
S01006703,24,10,2,12
S01006704,26,7,0,19
S01006705,30,12,4,14
S01006706,27,11,3,13
S01006707,38,14,1,23
S01006708,38,17,3,18
S01006709,41,21,4,16
S01006710,19,9,1,9
S01006711,28,14,3,11
S01006712,13,7,0,6
S01006713,37,20,0,17
S01006714,31,18,3,10
S01006715,49,25,6,18
S01006716,35,18,1,16
S01006717,33,16,4,13
S01006718,42,16,7,19
S01006719,46,20,7,19
S01006720,26,11,4,11
S01006721,45,18,6,21
S01006722,40,15,12,13
S01006723,24,8,3,13
S01006724,66,18,15,33
S01006725,35,17,3,15
S01006726,104,60,8,36
S01006727,75,31,9,35
S01006728,40,17,7,16
S01006729,38,9,4,25
S01006730,38,12,7,19
S01006731,23,7,0,16
S01006732,150,65,14,71
S01006733,44,17,2,25
S01006734,38,17,4,17
S01006735,35,21,1,13
S01006736,38,20,2,16
S01006737,30,11,2,17
S01006738,27,15,3,9
S01006739,24,13,0,11
S01006740,30,15,4,11
S01006741,17,10,0,7
S01006742,11,7,1,3
S01006743,32,18,1,13
S01006744,18,13,2,3
S01006745,28,9,1,18
S01006746,43,24,5,14
S01006747,35,20,3,12
S01006748,19,9,4,6
S01006749,19,9,2,8
S01006750,44,10,2,32
S01006751,16,10,0,6
S01006752,20,8,1,11
S01006753,44,29,0,15
S01006754,34,23,0,11
S01006755,51,21,2,28
S01006756,47,12,2,33
S01006757,48,38,1,9
S01006758,34,22,2,10
S01006759,32,13,3,16
S01006760,33,21,5,7
S01006761,29,17,3,9
S01006762,27,11,0,16
S01006763,53,31,6,16
S01006764,44,29,0,15
S01006765,24,11,2,11
S01006766,44,18,1,25
S01006767,45,25,4,16
S01006768,56,29,0,27
S01006769,55,31,2,22
S01006770,26,12,0,14
S01006771,49,23,4,22
S01006772,35,17,1,17
S01006773,42,18,0,24
S01006774,44,24,3,17
S01006775,37,17,3,17
S01006776,12,5,2,5
S01006777,38,31,1,6
S01006778,31,21,3,7
S01006779,48,32,4,12
S01006780,31,13,5,13
S01006781,50,28,6,16
S01006782,41,16,4,21
S01006783,29,18,3,8
S01006784,39,20,5,14
S01006785,45,28,3,14
S01006786,49,18,5,26
S01006787,35,18,4,13
S01006788,48,21,4,23
S01006789,12,4,0,8
S01006790,28,14,4,10
S01006791,19,6,2,11
S01006792,17,5,3,9
S01006793,6,4,0,2
S01006794,11,4,1,6
S01006795,30,18,0,12
S01006796,20,7,0,13
S01006797,23,8,1,14
S01006798,27,12,0,15
S01006799,36,19,0,17
S01006800,56,29,4,23
S01006801,29,5,1,23
S01006802,31,11,2,18
S01006803,26,11,3,12
S01006804,17,10,1,6
S01006805,63,29,3,31
S01006806,46,19,2,25
S01006807,20,6,2,12
S01006808,29,5,3,21
S01006809,29,8,2,19
S01006810,32,10,3,19
S01006811,39,14,0,25
S01006812,27,9,2,16
S01006813,31,11,3,17
S01006814,61,21,0,40
S01006815,17,10,4,3
S01006816,31,17,0,14
S01006817,27,15,2,10
S01006818,27,9,0,18
S01006819,55,20,2,33
S01006820,23,7,1,15
S01006821,32,18,2,12
S01006822,45,19,1,25
S01006823,33,14,2,17
S01006824,30,10,4,16
S01006825,40,25,1,14
S01006826,53,33,1,19
S01006827,32,12,5,15
S01006828,27,12,3,12
S01006829,15,7,1,7
